,Mkt-RF,SMB,HML,RMW,CMA,RF
20160628,1.76,-0.37,0.15,-0.6,-0.58,0.001
20160629,1.8,0.32,-0.06,-0.04,-0.23,0.001
20160630,1.42,0.38,0.45,-0.11,0.37,0.001
20160701,0.24,0.47,-0.41,-0.03,0.24,0.001
20160705,-0.85,-0.83,-1.37,0.57,-0.68,0.001
20160706,0.62,0.17,-0.13,-0.12,-0.16,0.001
20160707,0.02,0.35,-0.2,0.25,-0.31,0.001
20160708,1.6,0.95,0.35,0.08,0.27,0.001
20160711,0.43,0.69,0.26,0.26,-0.08,0.001
20160712,0.75,0.75,1,-0.52,0.64,0.001
20160713,-0.05,-0.47,0.51,0.47,0,0.001
20160714,0.51,-0.41,0.45,0,0,0.001
20160715,-0.05,0.29,0.01,-0.28,0.01,0.001
20160718,0.25,0.02,-0.12,0.12,-0.24,0.001
20160719,-0.22,-0.64,0.04,0.31,-0.24,0.001
20160720,0.48,0.4,-0.87,0,-0.36,0.001
20160721,-0.38,-0.07,-0.02,0.07,0.02,0.001
20160722,0.48,0.28,-0.08,0.42,-0.25,0.001
20160725,-0.27,-0.01,-0.24,0.51,-0.39,0.001
20160726,0.13,0.62,0.54,-0.42,0.74,0.001
20160727,-0.14,0.52,-0.44,-0.12,-0.56,0.001
20160728,0.18,-0.45,-0.35,-0.07,-0.15,0.001
20160729,0.17,-0.03,0.03,0.06,0.31,0.001
20160801,-0.16,0.06,-0.87,0.65,-0.73,0.001
20160802,-0.7,-0.63,0.17,-0.51,0.16,0.001
20160803,0.45,0.58,0.83,-0.65,0.15,0.001
20160804,0.05,0.07,-0.33,0.11,0.08,0.001
20160805,0.93,0.57,0.87,-0.51,-0.36,0.001
20160808,-0.06,0.11,0.57,0.02,0.44,0.001
20160809,0.05,-0.05,-0.31,-0.19,-0.23,0.001
20160810,-0.29,-0.45,-0.13,0.67,0,0.001
20160811,0.54,0.15,0.04,-0.25,0.16,0.001
20160812,-0.06,0.13,-0.18,-0.13,-0.27,0.001
20160815,0.39,0.8,0.4,-0.26,0.36,0.001
20160816,-0.57,-0.2,0.6,-0.13,0.31,0.001
20160817,0.12,-0.5,0.25,0.01,0.06,0.001
20160818,0.32,0.47,0.37,-0.43,0.35,0.001
20160819,-0.11,0.1,-0.12,0.25,-0.14,0.001
20160822,-0.02,0.22,-0.41,-0.03,-0.36,0.001
20160823,0.27,0.56,-0.01,0.06,0.07,0.001
20160824,-0.56,-0.43,0.4,0.39,-0.07,0.001
20160825,-0.08,0.22,0.49,-0.2,0.29,0.001
20160826,-0.15,0.13,-0.13,-0.34,-0.2,0.001
20160829,0.53,0,0.35,-0.15,0.21,0.001
20160830,-0.14,0.21,0.31,-0.08,-0.3,0.001
20160831,-0.24,-0.35,0.14,0.23,-0.34,0.001
20160901,0.03,0.05,-0.49,0.12,-0.13,0.001
20160902,0.53,0.42,0.36,-0.13,0.19,0.001
20160906,0.26,0,-0.53,-0.59,-0.03,0.001
20160907,0.09,0.61,0.03,-0.01,-0.25,0.001
20160908,-0.18,0.04,0.58,-0.82,0.41,0.001
20160909,-2.47,-0.55,0.3,0.03,-0.43,0.001
20160912,1.44,-0.04,-0.47,-0.07,-0.2,0.001
20160913,-1.48,-0.32,-0.47,0.57,-0.76,0.001
20160914,-0.08,0.05,-0.82,0.09,-0.51,0.001
20160915,1.07,0.31,-0.32,0.09,-0.21,0.001
20160916,-0.36,0.28,-0.46,0.26,-0.19,0.001
20160919,0.05,0.5,0.16,-0.05,0.34,0.001
20160920,-0.02,-0.33,-0.52,-0.46,-0.11,0.001
20160921,1.12,0.2,0.33,-0.33,0.52,0.001
